✤ฺ ❃ฺ ✾ฺ ❀ฺ ✿ฺ ❁ฺ ❆ฺ ❅ฺ ❊ฺ ❋ฺ ✲ฺ ✛ฺ ✜ฺ ✱ฺ ❇ฺฺ ✳ฺ ✺ฺ *:,4510
墓参り,25840
ｓｍ２７と字幕おつかれさまでした！,523970
山吹ｗｗｗ,293450
うつぶせ！,276200
猫駆除だ！！,217030
字幕ｗｗｗｗ,183940
888888,519390
童貞童貞,499750
涙出る,487610
るん♪,383560
白菜きた,353430
くるっぽー,305740
ｗｗ,259410
あついニャー＞＜,235250
JOJO,230160
見えるし聴こえるよ,216810
琵琶,200240
弾幕ｗｗ,184950
8年前か・・・,111430
墓参り,43990
墓参り,13000
お墓参り,10220
おまえら....,50230
さよなら,14500
はえ,9140
南無…,1370
墓参り,10460
墓参り,11810
墓参り,13220
墓参り,21270
墓参り,9530
童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童貞童,506150
ぺニイイイイイイイイイイイイイイイイイイイイイイイイイイイイイイス,456580
墓参り,6580
蛍の光が妙にしんみりする。,34680
墓参りに,4670
2015年も墓参り,72780
ご冥福をお祈りします。,2900
sm9が1500万いったので,5660
ここか…初代,22740
乙,519220
墓参り,73980
墓参り,22500
墓参り,20840
墓参り,54810
い,185460
墓参り,8050
█　　　█　　████　　█　　　　　▄███▄　　　███　　　█　　　█　　████　　█　█,3440
█　　　█　　█　　　　　█　　　　　█　　　█　　█　　　█　　██　██　　█　　　　　█　█,3440
█　　　█　　█　　　　　█　　　　　█　　　　　　█　　　█　　█　█　█　　█　　　　　█　█,3440
█　　　█　　█▄▄▄　　█　　　　　█　　　　　　█　　　█　　█　　　█　　█▄▄▄　　█　█,3440
█　█　█　　█　　　　　█　　　　　█　　　█　　█　　　█　　█　　　█　　█　　　　　█　█,3440
█　█　█　　█　　　　　█　　　　　█　　　█　　█　　　█　　█　　　█　　█　　　　　　　　‌,3440
　█　█　　　█▄▄▄　　█▄▄▄▄　　███　　　　███　　　█　　　█　　█▄▄▄　　█　█,3440
お墓まいり,30640
sm27のことはﾜｽﾚﾅｲ・・,26320
泣ける,3510
何年ぶりかの墓参り,14370
墓参り,7420
墓参り,1240
　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　☆PONG☆,459630
２か月前に放火したのコートに行ったの覚えてるか？,6330
Hせん？,2080
墓参り,25500
墓参り多すぎwwww,19200
弾幕残ってて涙が・・・,478710
下コメ残ってる,23780
墓参り,9140
27乙,6930
墓参り,13380
墓参り,20160
墓参り,18940
お墓参りにきました,14290
飛ばした奴ｗｗｗｗｗｗｗｗｗｗｗ,521060
墓参り,4880
愛されてるなぁ,13210
墓参り,5210
久々墓参り,13820
墓参りに,23460
墓参り,18490
これが最初か,10680
⑨,105460
シクシクシク,7140
うあああああああああああああああああああああああああああああああああ,23900
墓参りに,8190
墓参りに,12730
墓参り,20090
hakamairi,20240
墓参りです。,13560
墓参り,40590
巡礼中,7020
墓参り,7580
墓参り,11370
墓参り,11630
3ｒｄ始まったのでお墓参りに来ました,2820
墓参りに,13440
墓参りに,8970
マジかよ・・・いつ消されたのかすら検討付かん,8830
墓参り,19490
この時代に見たかった,34240
あああああああああああ,31010
ああああああああああああああああああああああああああああ,29380
はかま襟,24270
墓参り,11070
お墓参り,12520
もう8年だよ・・・,730
墓参りきた,16680
墓参り,10260
久々に墓参り,14680
墓参り,10970
脳内再生中,82030
弾幕,183930
ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,182430
すごい、なんか聞こえるｗ,162500
誰？,156300
初めての墓参り,71390
お墓参りに,15300
■■ア■■,227550
■■シ■■,227180
■■ロ■■,225370
　　　　　　　　　　　　　●REC,117250
あ,93010
湯浅でえええええええええええええええええええええええええええええす,320050
猫駆除だ！！,216670
墓参りです,19460
墓参り,13510
墓参り,12010
墓参り,13080
墓参り,15850
お墓参り,8920
墓参り,18860
ｗｗｗｗｗｗｗｗｗｗ,488230
ｗｗｗｗｗｗｗｗｗｗｗｗｗ,288250
墓参り,11180
南無妙法蓮華経,25920
墓参りに,17510
墓参り,5360
通風性のために,10780
墓参り,7850
何もかも懐かしい,216330
2ndが終了したので,14050
墓参り,16940
2015年あけましておめでとうございます,3590
墓参り,10260
墓参りに,24480
破壊参り,11530
墓参り,12130
２０１４年１２月いつかに墓参り,62200
ｓｍ２７ってすげーなまじで,18090
12月いつかなので,25470
墓参り,39240
12月いつかなので,6430
墓参り,10300
